Concept,DataCheck,DataType,Description,OutputCol,Required,Motor Werks Infiniti HE,Motor Werks Cadillac,Motor Werks BMW,Motor Werks Honda,Motor Werks Mercedes,Motor Werks Porsche,Motor Werks Jaguar HE,Motor Werks Infiniti,Motor Werks Land Rover HE,Motor Werks Mercedes HE,Maplewood Toyota,Marhofer Chevrolet,Arbogast Buick GMC,Lexus of Wayzata,Imperial Motors Jaguar,VH CVHD,Budd Baer GMC,Kowalis Lexus Orland,Kowalis Lexus Merrillville,Chicago Northside Toyota,Elgin Toyota,Elgin Hyundai,Elgin Chrysler Dodge Jeep Ram,Dundee Ford,Honda City,Lockhart Cadillac,World Kia Joliet,MJ Brookfield Buick GMC,Serpentini Chevrolet Tallmadge,Montrose Ford Fairlawn,Biggers Chevrolet,Freeway Mazda
Inventory,Past,Epoch time,,Receipt_Date,Mandatory,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,EntryDate,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,Date in Inventory,RCPT-DATE,RCPT-DATE,RCPT-DATE,RCPT-DATE,DateReceived
Inventory,Past,Epoch time,,Sale_Date,Used,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,VehicleSoldDate,,VehicleSoldDate,,,,,,,,,,,,,,SALE-DATE,SALE-DATE,SALE-DATE,SALE-DATE,
Inventory,Past,Epoch time,,Purchase_Date,Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,PURCH-DATE,PURCH-DATE,PURCH-DATE,PURCH-DATE,
Inventory,Categories,Alphanumeric,,Vehicle_Type,Used,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,StockType,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,FLAG-NEW-USED-DV,FLAG-NEW-USED-DV,FLAG-NEW-USED-DV,FLAG-NEW-USED-DV,Status
Inventory,Categories,Alphanumeric,,Wholesale_Status,Used,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,,Wholesale,,,,,,,,,,,,,,,,,,
Inventory,17 characters,Alphanumeric,,Vehicle_VIN,Used,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,VIN,SER-NO,SER-NO,SER-NO,SER-NO,VIN
Inventory,Categories,Alphanumeric,,Vehicle_Make,Used,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,MakeName,Make,Make,Make,Make,Make,Make,Make,Make,Make,Make,Make,Make,MAKE,MAKE,MAKE,MAKE,Make
Inventory,Categories,Alphanumeric,,Vehicle_Model,Used,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,ModelName,Model,Model,Model,Model,Model,Model,Model,Model,Model,Model,Model,Model,CARLINE,CARLINE,CARLINE,CARLINE,Model
Inventory,YYYY,Numeric,,Vehicle_Year,Used,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,YEAR,YR,YR,YR,Year
Inventory,Categories,Alphanumeric,,Vehicle_Trimlevel,Used,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,ModelNo,,ModelNo,,Body,,Body,Body,Body,Body,Body,Body,Body,Body,Body,Body,,TRIM,,,Trim
Inventory,Categories,Alphanumeric,,Vehicle_Color,Used,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,Color,EXT-CLR-CD,EXT-CLR-CD,EXT-CLR-CD,EXT-CLR-CD,ExteriorColor_Code
Inventory,Categories,Alphanumeric,,Stock_ID,Used,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,StockNo,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,Stock Number,STOCK #,STOCK-NO,STOCK-NO,STOCK-NO,StockNumber
Inventory,Remove non-numeric characters,Numeric,,Inventory_Amount,Used,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,Balance,,Cost,Cost,,,,,,,,,,,INV-AMT,INV-AMT,INV-AMT,INV-AMT,Inventory
Inventory,Remove non-numeric characters,Numeric,,Vehicle_Base_Cost,Used,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Price2,Balance,Price2,Balance,,,Memo Info10,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,SALES COST,SLS-COST,SLS-COST,SLS-COST,
Inventory,Remove non-numeric characters,Numeric,,Vehicle_Price,Used,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price1,Price,Price1,Price1,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,LIST PRICE,LIST-PRICE,LIST-PRICE,LIST-PRICE,Retail
Inventory,Remove non-numeric characters,Numeric,,Flooring_Price,Used,,,,,,,,,,,,,,,,Memo Info 3,Memo Info 3,,,,,,,,,,Memo Info 3,,,,,
